class,ht,player,pos,tm_link,player_link,year
JR,77.0,Boban Savovic,G,ohio-state,boban-savovic-1,2001
SO,70.0,Shaun Smith,G,ohio-state,shaun-smith-1,2001
FR,79.0,Zach Williams,F,ohio-state,zach-williams-1,2001
FR,81.0,Mustafa Al-Sayyad,C,fresno-state,mustafa-al-sayyad-1,2001
JR,79.0,Andrea Bona,F,fresno-state,andrea-bona-1,2001
SO,76.0,Travis Demanby,G,fresno-state,travis-demanby-1,2001
SR,82.0,Melvin Ely,C,fresno-state,melvin-ely-1,2001
SO,81.0,Noel Felix,F,fresno-state,noel-felix-1,2001
SR,,Scotty Graham,F,fresno-state,scotty-graham-1,2001
JR,,Nick Irvin,G,fresno-state,nick-irvin-1,2001
JR,76.0,Damon Jackson,G,fresno-state,damon-jackson-1,2001
SO,80.0,Chris Jefferies,G,fresno-state,chris-jefferies-1,2001
SO,76.0,Tito Maddox,G,fresno-state,tito-maddox-1,2001
JR,,Dennis Nathan,G,fresno-state,dennis-nathan-1,2001
SR,72.0,Demetrius Porter,G,fresno-state,demetrius-porter-1,2001
JR,78.0,Shannon Swillis,F,fresno-state,shannon-swillis-1,2001
JR,75.0,Richard Ainooson,G,oklahoma,richard-ainooson-1,2001
JR,73.0,Michael Cano,G,oklahoma,michael-cano-2,2001
FR,80.0,Johnnie Gilbert,F,oklahoma,johnnie-gilbert-1,2001
JR,81.0,Ronnie Griffin,F,oklahoma,ronnie-griffin-1,2001
SR,73.0,Tim Heskett,G,oklahoma,tim-heskett-1,2001
SR,78.0,Jameel Heywood,F,oklahoma,jameel-heywood-1,2001
SR,76.0,Nolan Johnson,G,oklahoma,nolan-johnson-1,2001
FR,73.0,Blake Johnston,G,oklahoma,blake-johnston-1,2001
JR,80.0,Aaron McGhee,F,oklahoma,aaron-mcghee-1,2001
SR,74.0,Kelley Newton,G,oklahoma,kelley-newton-1,2001
SO,73.0,Hollis Price,G,oklahoma,hollis-price-1,2001
JR,74.0,J.R. Raymond,G,oklahoma,jr-raymond-1,2001
JR,78.0,Daryan Selvy,F,oklahoma,daryan-selvy-1,2001
JR,81.0,Jozsef Szendrei,C,oklahoma,jozsef-szendrei-1,2001
JR,74.0,Jenis Grindstaff,G,tennessee,jenis-grindstaff-1,2001
SO,82.0,Marcus Haislip,F,tennessee,marcus-haislip-1,2001
SR,72.0,Tony Harris,G,tennessee,tony-harris-2,2001
SR,82.0,Charles Hathaway,C,tennessee,charles-hathaway-1,2001
SO,75.0,Jon Higgins,G,tennessee,jon-higgins-1,2001
FR,80.0,Andy Ikeakor,,tennessee,andy-ikeakor-1,2001
SO,80.0,Ron Slay,F,tennessee,ron-slay-1,2001
SO,79.0,Zach Turner,F,tennessee,zach-turner-1,2001
SR,81.0,Isiah Victor,F,tennessee,isiah-victor-1,2001
SO,73.0,Harris Walker,G,tennessee,harris-walker-1,2001
SO,75.0,Terrence Woods,G,tennessee,terrence-woods-1,2001
JR,79.0,Vincent Yarbrough,F,tennessee,vincent-yarbrough-1,2001
FR,,Carey Crain,G,mississippi,carey-crain-1,2001
JR,,John Engstrom,C,mississippi,john-engstrom-1,2001
SR,,Jason Flanigan,G,mississippi,jason-flanigan-1,2001
SO,82.0,John Gunn,F,mississippi,john-gunn-1,2001
FR,79.0,Aaron Harper,G,mississippi,aaron-harper-1,2001
JR,65.0,Jason Harrison,G,mississippi,jason-harrison-1,2001
FR,79.0,Josh Hayes,F,mississippi,josh-hayes-1,2001
SR,,Jason Holmes,G,mississippi,jason-holmes-1,2001
SO,81.0,Richard Kirklin,F,mississippi,richard-kirklin-1,2001
SR,80.0,Rahim Lockhart,F,mississippi,rahim-lockhart-1,2001
FR,,John Pilger,G,mississippi,john-pilger-1,2001
FR,80.0,Justin Reed,F,mississippi,justin-reed-1,2001
SO,75.0,David Sanders,G,mississippi,david-sanders-1,2001
SO,75.0,Emmanuel Wade,G,mississippi,emmanuel-wade-1,2001
SR,75.0,Roy Boone,G,wisconsin,roy-boone-1,2001
FR,,Ricky Bower,,wisconsin,ricky-bower-2,2001
FR,70.0,Travon Davis,G,wisconsin,travon-davis-1,2001
FR,,Kyle Grusczynski,,wisconsin,kyle-grusczynski-1,2001
SR,75.0,Mike Kelley,G,wisconsin,mike-kelley-1,2001
FR,80.0,Andy Kowske,F,wisconsin,andy-kowske-1,2001
SR,80.0,Maurice Linton,F,wisconsin,maurice-linton-1,2001
FR,83.0,Dave Mader,C,wisconsin,dave-mader-1,2001
FR,74.0,Freddie Owens,G,wisconsin,freddie-owens-1,2001
SO,77.0,Kirk Penney,G,wisconsin,kirk-penney-1,2001
FR,,Pete Schmit,,wisconsin,pete-schmit-2,2001
FR,75.0,Ike Ukawuba,G,wisconsin,ike-ukawuba-1,2001
SR,81.0,Mark Vershaw,F,wisconsin,mark-vershaw-1,2001
JR,80.0,Charlie Wills,F,wisconsin,charlie-wills-1,2001
FR,70.0,A.J. Diggs,G,california,aj-diggs-1,2001
FR,78.0,Conor Famulener,F,california,conor-famulener-1,2001
JR,77.0,Ryan Forehan-Kelly,F,california,ryan-forehan-kelly-1,2001
JR,75.0,Dennis Gates,G,california,dennis-gates-1,2001
FR,83.0,Gabriel Hughes,F-C,california,gabriel-hughes-1,2001
JR,83.0,Solomon Hughes,F-C,california,solomon-hughes-1,2001
FR,,Saulius Kuzminskas,F-C,california,saulius-kuzminskas-1,2001
SR,79.0,Sean Lampley,F,california,sean-lampley-1,2001
SO,71.0,Shantay Legans,G,california,shantay-legans-1,2001
SR,,Morgan Lingle,G,california,morgan-lingle-1,2001
SO,77.0,Joe Shipp,F,california,joe-shipp-1,2001
SO,74.0,Donte Smith,G,california,donte-smith-1,2001
SO,82.0,Nick Vander Laan,C,california,nick-vander-laan-1,2001
FR,75.0,Ronnie West,G,california,ronnie-west-1,2001
SO,77.0,Brian Wethers,G-F,california,brian-wethers-1,2001
JR,82.0,John Allison,C,purdue,john-allison-2,2001
JR,73.0,Travis Best,G,purdue,travis-best-2,2001
FR,80.0,Brett Buscher,G,purdue,brett-buscher-1,2001
SR,73.0,Carson Cunningham,G,purdue,carson-cunningham-1,2001
SO,72.0,Willie Deane,G,purdue,willie-deane-1,2001
FR,83.0,Kevin Garrity,C,purdue,kevin-garrity-1,2001
JR,73.0,Maynard Lewis,G,purdue,maynard-lewis-1,2001
SO,75.0,Kenny Lowe,G,purdue,kenny-lowe-1,2001
JR,74.0,Joe Marshall,G,purdue,joe-marshall-1,2001
FR,72.0,Austin Parkinson,G,purdue,austin-parkinson-1,2001
JR,78.0,Rodney Smith,F,purdue,rodney-smith-1,2001
SO,81.0,Adam Wetzel,C,purdue,adam-wetzel-1,2001
JR,72.0,Tony Akins,G,georgia-tech,tony-akins-1,2001
SR,79.0,Jon Babul,F,georgia-tech,jon-babul-1,2001
FR,80.0,Robert Brooks,F,georgia-tech,robert-brooks-1,2001
SR,75.0,Shaun Fein,G,georgia-tech,shaun-fein-1,2001
JR,,Patrick Harpring,G,georgia-tech,patrick-harpring-1,2001
JR,80.0,Michael Isenhour,F,georgia-tech,michael-isenhour-1,2001
SR,83.0,Alvin Jones,C,georgia-tech,alvin-jones-1,2001
SR,75.0,Darryl Labarrie,G,georgia-tech,darryl-labarrie-1,2001
FR,78.0,Halston Lane,F,georgia-tech,halston-lane-1,2001
FR,76.0,Marvin Lewis,G,georgia-tech,marvin-lewis-1,2001
SO,77.0,Clarence Moore,F,georgia-tech,clarence-moore-1,2001
JR,75.0,Winston Neal,G,georgia-tech,winston-neal-1,2001
SR,70.0,T.J. Vines,G,georgia-tech,tj-vines-1,2001
SO,78.0,Matt Carroll,G,notre-dame,matt-carroll-1,2001
JR,78.0,David Graves,F,notre-dame,david-graves-1,2001
SR,80.0,Ryan Humphrey,F,notre-dame,ryan-humphrey-1,2001
SR,72.0,Martin Ingelsby,G,notre-dame,martin-ingelsby-1,2001
FR,76.0,Torrian Jones,G,notre-dame,torrian-jones-1,2001
SO,83.0,Ivan Kartelo,C,notre-dame,ivan-kartelo-1,2001
SO,81.0,Jere Macura,F,notre-dame,jere-macura-1,2001
JR,83.0,Troy Murphy,F,notre-dame,troy-murphy-1,2001
SR,82.0,Hans Rasmussen,F,notre-dame,hans-rasmussen-1,2001
JR,79.0,Harold Swanagan,F,notre-dame,harold-swanagan-1,2001
JR,72.0,Charles Thomas,G,notre-dame,charles-thomas-2,2001
FR,83.0,Tom Timmermans,C,notre-dame,tom-timmermans-1,2001
FR,81.0,Brian Boddicker,C,texas,brian-boddicker-1,2001
SO,75.0,Roosevelt Brown,G,texas,roosevelt-brown-1,2001
JR,77.0,Maurice Evans,F,texas,maurice-evans-1,2001
SR,73.0,Yair Harari,G,texas,yair-harari-1,2001
FR,75.0,Royal Ivey,G,texas,royal-ivey-1,2001
